Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_0100100,0.0,0.11,0.952,95.92065,11.087,12.667,16.014,25.229,50.468,59.935,58.341,46.832,35.555,13.087,70.2571
PF3D7_0100200,0.0,0.0,1.53,28.5614,21.981,42.733,35.384,3.667,22.533,19.03,28.223,12.914,30.471,32.307,6.24
PF3D7_0100300,0.0,0.0,0.0,2.2163000000000004,4.934,2.788,0.377,0.117,0.533,0.716,0.562,0.984,0.423,1.739,0.4616
PF3D7_0100400,,,,101.90559999999999,22.863,119.961,108.227,47.04,89.193,65.502,99.836,121.014,100.712,166.659,175.6373
PF3D7_0100600,0.0,1.302,0.0,31.193849999999998,1.369,4.469,3.813,0.835,6.14,6.698,14.723,14.248,6.198,8.949,0.0
PF3D7_0100700,,,,0.0,0.454,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100800,,,,0.4564,0.0,1.026,0.941,0.119,0.0,0.183,0.106,0.0,0.0,0.0,0.0
PF3D7_0100900,,,,1.1491500000000001,0.076,3.393,11.777,0.87,0.7,2.262,2.438,0.0,0.0,0.0,0.0
PF3D7_0101000,,,,1.4648,0.745,0.627,3.099,1.274,0.513,1.176,1.256,0.574,0.0,0.0,16.3054
PF3D7_0101100,,,,0.1495,1.126,0.989,0.085,0.21,0.0,0.405,0.188,0.431,2.423,0.0,0.0
PF3D7_0101200,,,,0.0,1.396,0.548,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101300,,,,3.1437,1.644,102.156,77.515,3.749,3.534,3.348,3.546,7.321,5.756,1.085,0.0
PF3D7_0101600,,,,11.95465,3.51,16.089,13.394,1.485,6.015,4.129,6.788,2.859,0.522,0.0,0.0
PF3D7_0101800,,,,3.5881,0.084,0.265,1.286,0.0,0.237,0.459,0.687,0.0,0.0,0.0,0.0
PF3D7_0101900,,,,10.97565,0.862,0.354,0.0,0.261,0.0,0.798,1.319,0.0,2.326,6.657,0.0
PF3D7_0102200,7.526,0.938,0.465,12908.057050000001,2023.344,191.334,95.102,90.738,127.355,276.73,1118.215,20.057,2.864,0.403,0.6344
PF3D7_0102300,,,,141.47705000000002,25.983,56.526,803.046,1103.965,516.373,324.328,281.224,0.622,1.212,1.508,4.4083
PF3D7_0102400,0.0,4.01,25.043,,,,,,,,,,,,
PF3D7_0102500,0.0,1.098,3.097,1409.8251500000001,212.361,20.586,4.605,21.412,136.957,690.48,1540.898,22.126,4.761,15.404,33.2308
PF3D7_0102600,0.0,0.268,1.424,132.1475,176.751,1274.457,170.284,68.076,64.029,72.425,63.686,33.53,28.472,13.074,10.2686
PF3D7_0102700,0.0,7.799,5.792,799.9901,286.897,50.01,26.133,31.949,109.456,114.776,345.029,32.683,48.886,27.934,251.0871
PF3D7_0102800,20.147,31.775,44.173,19.3093,7.246,5.601,38.018,54.983,31.791,21.927,21.37,17.608,65.159,13.565,0.0
PF3D7_0102900,158.526,207.541,168.319,207.35345,848.06,1274.822,1306.408,830.834,532.81,389.244,297.716,71.774,58.623,67.125,7.0422
PF3D7_0103000,9.085,23.628,26.6,45.910399999999996,5.006,2.917,17.801,69.457,117.632,66.703,70.156,105.557,95.944,47.04,80.2557
PF3D7_0103100,7.572,40.443,45.552,35.914950000000005,6.353,13.557,35.219,79.112,103.281,92.014,61.104,59.501,77.029,91.525,31.9729
PF3D7_0103200,639.669,1146.097,1350.044,358.1388,282.422,642.03,1006.993,903.869,788.576,703.828,500.093,318.928,313.617,368.373,269.2594
PF3D7_0103300,108.506,108.558,90.298,247.81374999999997,284.853,266.238,230.075,229.048,262.935,239.879,262.961,147.509,128.082,99.405,98.4938
PF3D7_0103400,30.338,44.238,47.244,725.61445,72.033,176.052,392.993,403.931,534.873,697.352,723.855,301.212,353.771,503.079,374.9712
