Gene,LD4_1,LD4_2,LD4_3,LD5_1,LD5_2,LD5_3,LD6_1,LD6_2,LD6_3,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_0100100,0.0,0.0,0.0,0.0,2.0,0.0,46.0,19.0,45.0,1100.0,1573.0,503.0,230.0,573.0,353.0,1122.0,1515.0,1363.0,287.0,636.0,968.0,354.0,2547.0,1364.0,393.0,336.0,394.0,1551.0,1618.0,1086.0,279.0,217.0,437.0,94.0,95.0,147.0,355.0,434.0,9.0,117.0,140.0,6.0,323.0,1.0,8.0,82.0,78.0,280.0,12.0
PF3D7_0100200,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,16.0,46.0,30.0,170.0,56.0,166.0,426.0,44.0,92.0,189.0,6.0,13.0,26.0,10.0,113.0,76.0,350.0,53.0,35.0,105.0,58.0,57.0,141.0,92.0,51.0,18.0,3.0,0.0,12.0,617.0,9.0,24.0,10.0,10.0,0.0,152.0,10.0,12.0,15.0,4.0,0.0
PF3D7_0100300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,44.0,34.0,56.0,6.0,5.0,11.0,2.0,1.0,1.0,3.0,22.0,29.0,3.0,5.0,6.0,2.0,10.0,13.0,47.0,57.0,123.0,1.0,0.0,0.0,6.0,63.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
PF3D7_0100400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,163.0,462.0,140.0,478.0,1279.0,293.0,270.0,644.0,112.0,170.0,297.0,37.0,306.0,416.0,830.0,228.0,284.0,365.0,104.0,292.0,65.0,127.0,118.0,132.0,229.0,94.0,46.0,1777.0,1.0,58.0,99.0,529.0,145.0,600.0,25.0,185.0,118.0,117.0,74.0
PF3D7_0100600,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,6.0,45.0,2.0,20.0,47.0,24.0,45.0,102.0,1.0,6.0,3.0,30.0,118.0,90.0,36.0,6.0,5.0,20.0,10.0,40.0,10.0,1.0,8.0,24.0,9.0,0.0,10.0,2419.0,2.0,0.0,5.0,0.0,1.0,156.0,4.0,0.0,1.0,0.0,0.0
PF3D7_0100700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,32.0,20.0,5.0,7.0,16.0,1.0,8.0,1.0,2.0,2.0,6.0,79.0,38.0,20.0,2.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PF3D7_0101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,13.0,5.0,4.0,4.0,1.0,7.0,2.0,31.0,4.0,2.0,3.0,8.0,2.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
PF3D7_0101100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,23.0,29.0,613.0,1067.0,5.0,8.0,33.0,10.0,12.0,26.0,1.0,11.0,12.0,621.0,187.0,193.0,20.0,16.0,7.0,4.0,4.0,17.0,2.0,1.0,5.0,9.0,0.0,0.0,1.0,6.0,2.0,11.0,2.0,0.0,2.0,1.0,0.0,0.0
PF3D7_0101600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,43.0,2.0,69.0,202.0,9.0,21.0,57.0,5.0,8.0,5.0,5.0,39.0,50.0,120.0,28.0,29.0,7.0,20.0,21.0,29.0,13.0,8.0,8.0,42.0,0.0,0.0,544.0,0.0,0.0,2.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,12.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,2.0,7.0,0.0,3.0,0.0,11.0,9.0,67.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0
PF3D7_0102200,6.0,0.0,0.0,6.0,0.0,0.0,25.0,31.0,0.0,1282.0,2098.0,3263.0,4002.0,2343.0,7158.0,28672.0,13916.0,20261.0,1518.0,1639.0,1782.0,160337.0,26669.0,435639.0,1119.0,1655.0,2378.0,3202.0,2620.0,8230.0,57337.0,10128.0,71374.0,11.0,31.0,138.0,38.0,727.0,4.0,1.0,16.0,16.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0
