UniProtID,N_Pockets,Score,Probability,Gene,Length,Protein
A0A140KXU9,5,3.91,0.154,PF3D7_API00100,208.0,Apicoplast ribosomal protein S4
A0A140KXV7,0,0.0,0.0,PF3D7_API02000,118.0,Apicoplast ribosomal protein L14
A0A140KXW0,2,6.3,0.316,PF3D7_API02300,239.0,Apicoplast ribosomal protein S5
A0A140KXW8,1,1.81,0.034,PF3D7_API03500,129.0,"Apicoplast ribosomal protein L11, putative"
A0A140KXW9,7,7.26,0.379,PF3D7_API03600,767.0,Chaperone protein ClpM
A0A140KXX5,25,22.16,0.878,PF3D7_API04400,1024.0,DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
A0A143ZUM0,8,6.34,0.319,PF3D7_0107800,1233.0,Double-strand break repair protein MRE11 (EC 3.1.11.-)
A0A143ZV68,12,6.7,0.34,PF3D7_0314200,1385.0,Heptatricopeptide repeat-containing protein
A0A143ZVA5,0,0.0,0.0,PF3D7_0530750,90.0,Dolichol-phosphate mannosyltransferase subunit 3
A0A143ZVB3,9,23.61,0.89,PF3D7_0902600,617.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A143ZVB6,3,5.61,0.269,PF3D7_0903600,760.0,Uncharacterized protein
A0A143ZVC8,0,0.0,0.0,PF3D7_1344400,490.0,Uncharacterized protein
A0A143ZVI0,2,4.59,0.198,PF3D7_0700300,316.0,Rifin
A0A143ZVI1,0,0.0,0.0,PF3D7_0700500,357.0,Rifin
A0A143ZVI9,1,1.69,0.029,PF3D7_0705800,193.0,"Cysteine-rich secretory protein, putative"
A0A143ZVJ1,0,0.0,0.0,PF3D7_0706200,77.0,CHCH domain-containing protein
A0A143ZVJ7,2,1.61,0.026,PF3D7_0717600,1053.0,Uncharacterized protein
A0A143ZVJ8,4,24.01,0.895,PF3D7_0719500,471.0,"LEM3/CDC50 family protein, putative"
A0A143ZVK7,0,0.0,0.0,PF3D7_0800400,330.0,Rifin
A0A143ZVL3,5,3.79,0.146,PF3D7_0805900,249.0,Protein FRA10AC1
A0A143ZVL6,40,35.52,0.953,PF3D7_0806700,2572.0,Uncharacterized protein
A0A143ZVM1,39,18.84,0.831,PF3D7_0831600,1394.0,Cytoadherence linked asexual protein 8
A0A143ZVM5,2,20.25,0.852,PF3D7_0831800,305.0,Histidine-rich protein II
A0A143ZVN0,0,0.0,0.0,PF3D7_0832800,306.0,Rifin
A0A143ZVN3,1,1.08,0.007,PF3D7_0833000,368.0,Rifin
A0A143ZVU1,8,22.77,0.883,PF3D7_0923800,617.0,Thioredoxin reductase
A0A143ZVW0,2,1.37,0.016,PF3D7_0700200,323.0,Rifin
A0A143ZVW7,1,1.57,0.024,PF3D7_0704300,1852.0,ERYTHROCYTE MEMBRANE PROTEIN PFEMP3
A0A143ZVX7,11,66.16,0.99,PF3D7_0717000,298.0,Uncharacterized protein
A0A143ZVZ5,7,10.08,0.543,PF3D7_0805800,436.0,Calponin-homology (CH) domain-containing protein
A0A143ZW02,1,1.52,0.022,PF3D7_0831500,335.0,Plasmodium RESA N-terminal domain-containing protein
