LD4,LD5,LD6,YR,ET,MT,LT,ES,S,LS,M,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,N_Pockets,BestPocket_Score,BestPocket_Probability,TargetID,Gene,UniProtID
0,0.11,0.952,11.087,12.667,16.014,25.229,50.468,59.935,58.341,95.92065,46.832,35.555,13.087,70.2571,1,-1.706,,0,30,17.42,0.802,,PF3D7_0100100,Q9NFB6
0,0,1.53,21.981,42.733,35.384,3.667,22.533,19.03,28.223,28.5614,12.914,30.471,32.307,6.24,0.182,-2.624,,0,0,0,0,,PF3D7_0100200,Q9NFB5
0,0,0,4.934,2.788,0.377,0.117,0.533,0.716,0.562,2.2163,0.984,0.423,1.739,0.4616,0.663,-2.461,,0,13,6.23,0.312,,PF3D7_0100300,Q9NFB4
,,,22.863,119.961,108.227,47.04,89.193,65.502,99.836,101.9056,121.014,100.712,166.659,175.6373,0.984,-1.854,,0,1,2,0.043,,PF3D7_0100400,Q9NFB3
,,,,,,,,,,,,,,,0.146,-2.885,,0,,,,,PF3D7_0100500,
0,1.302,0,1.369,4.469,3.813,0.835,6.14,6.698,14.723,31.19385,14.248,6.198,8.949,0,0.888,-2.239,,0,2,3.03,0.1,,PF3D7_0100600,Q9NFB2
,,,0.454,0.391,0,0,0,0,0,0,0,0,0,0,0.122,0,,0,,,,,PF3D7_0100700,
,,,0,1.026,0.941,0.119,0,0.183,0.106,0.4564,0,0,0,0,0.206,-2.632,,0,0,0,0,,PF3D7_0100800,Q9NFB0
,,,0.076,3.393,11.777,0.87,0.7,2.262,2.438,1.14915,0,0,0,0,1,1.011,,0,0,0,0,,PF3D7_0100900,Q9NFA9
,,,0.745,0.627,3.099,1.274,0.513,1.176,1.256,1.4648,0.574,0,0,16.3054,0.703,-2.524,,0,0,0,0,,PF3D7_0101000,B9ZSH6
,,,1.126,0.989,0.085,0.21,0,0.405,0.188,0.1495,0.431,2.423,0,0,0.151,-2.77,,0,3,4.56,0.196,,PF3D7_0101100,O97308
