 QueryID,TargetID,Identity,Coverage,QueryLength,MisMatch,Gaps,Evalue,BitScore,HomologyScore
PF3D7_0102200,tr|Q5T657|Q5T657_HUMAN,37.681,69,1085,43,0,3.87E-08,54.7,239.6303226
PF3D7_0102600,tr|C9JME8|C9JME8_HUMAN,37.5,72,630,30,2,0.0000147,45.8,428.5714286
PF3D7_0102900,sp|P14868|SYDC_HUMAN,48,450,626,223,6,1.91E-142,424,3450.479233
PF3D7_0103000,tr|A0A087WY55|A0A087WY55_HUMAN,21.97,264,259,179,5,1.98E-11,63.5,2239.413127
PF3D7_0103100,sp|Q9UID3|VPS51_HUMAN,24.118,170,1634,129,0,2.45E-12,73.2,250.9216646
PF3D7_0103400,sp|Q9UPW5|CBPC1_HUMAN,40,195,1620,105,3,5.57E-38,157,481.4814815
PF3D7_0103600,sp|Q9Y2R4|DDX52_HUMAN,49.057,53,1534,27,0,1.94E-09,63.2,169.4928944
PF3D7_0103700,tr|H7BYY4|H7BYY4_HUMAN,34.286,70,535,46,0,0.0000018,51.2,448.6018692
PF3D7_0103800,sp|P61163|ACTZ_HUMAN,60.638,376,380,141,3,7.38E-176,494,5999.970526
PF3D7_0104000,sp|Q8TE57|ATS16_HUMAN,29.63,81,163,51,3,0.00000352,47,1472.411043
PF3D7_0104300,sp|Q9P275|UBP36_HUMAN,28.448,348,3499,188,12,1.11E-18,95.5,282.9352386
PF3D7_0105300,tr|B7Z385|B7Z385_HUMAN,36.601,153,162,95,2,1.02E-26,103,3456.761111
PF3D7_0105900,sp|Q14191|WRN_HUMAN,35.417,144,448,78,6,2.63E-11,67,1138.403571
PF3D7_0106100,sp|P21283|VATC1_HUMAN,31.124,347,383,219,9,1.10E-47,167,2819.850653
PF3D7_0106300,sp|O14983|AT2A1_HUMAN,44.316,607,1228,288,12,2.71E-138,447,2190.538436
PF3D7_0106400,sp|Q969E8|TSR2_HUMAN,21.296,108,156,83,1,0.0000125,44.3,1474.338462
PF3D7_0106700,sp|Q14692|BMS1_HUMAN,41.06,302,1434,156,7,1.36E-61,233,864.7224547
PF3D7_0106800,sp|P20339|RAB5A_HUMAN,54.822,197,214,83,1,1.17E-75,228,5046.698131
PF3D7_0107000,sp|P41208|CETN2_HUMAN,72.024,168,168,42,1,4.60E-83,243,7202.4
PF3D7_0107200,sp|Q6L8Q7|PDE12_HUMAN,24.784,347,337,207,14,5.91E-16,79.7,2551.943027
PF3D7_0107500,tr|K7ERM4|K7ERM4_HUMAN,34.545,165,1470,103,4,2.41E-20,90.9,387.75
PF3D7_0107600,tr|A0A7P0TAL9|A0A7P0TAL9_HUMAN,46.053,76,1595,38,2,8.76E-13,73.9,219.4374922
PF3D7_0107800,tr|F8W7U8|F8W7U8_HUMAN,41.631,233,1233,120,7,4.85E-42,166,786.7009732
PF3D7_0108000,sp|P49720|PSB3_HUMAN,43.981,216,218,109,2,2.54E-65,201,4357.750459
PF3D7_0108300,sp|Q9H2G4|TSYL2_HUMAN,39.683,63,2221,37,1,0.0000262,50.4,112.5632148
PF3D7_0108400,sp|Q8TBP6|S2540_HUMAN,20.956,272,330,171,7,5.42E-13,69.7,1727.282424
PF3D7_0108500,sp|P26436|ASPX_HUMAN,31.395,86,179,55,1,0.00000645,46.2,1508.363128
PF3D7_0109100,tr|H3BTI0|H3BTI0_HUMAN,33.333,93,1029,56,3,0.00000133,53.1,301.2603499
PF3D7_0109200,sp|O43809|CPSF5_HUMAN,31.633,196,232,118,3,4.29E-25,99.4,2672.443103
PF3D7_0109300,sp|Q9H5J4|ELOV6_HUMAN,29.787,282,322,169,6,4.67E-33,124,2608.675155
PF3D7_0109400,sp|O75347|TBCA_HUMAN,34.286,70,166,44,2,0.0000166,42.7,1445.795181
PF3D7_0109500,sp|P61599|NAA20_HUMAN,44.304,158,155,78,4,1.81E-38,129,4516.149677
PF3D7_0109600,tr|H3BPY5|H3BPY5_HUMAN,35.849,53,150,34,0,0.000000314,47.4,1266.664667
PF3D7_0109700,sp|Q96EU6|RRP36_HUMAN,29.444,180,183,113,7,1.14E-12,65.1,2896.131148
PF3D7_0109800,sp|Q9Y285|SYFA_HUMAN,42,500,575,245,11,1.70E-135,404,3652.173913
PF3D7_0109850,sp|Q9UPQ8|DOLK_HUMAN,27.386,241,596,152,7,9.19E-14,75.1,1107.386913
PF3D7_0110100,tr|C9J8T0|C9J8T0_HUMAN,40.336,119,934,64,2,4.06E-22,101,513.9169165
PF3D7_0110200,tr|H3BQQ4|H3BQQ4_HUMAN,38.542,96,143,59,0,7.37E-22,85.5,2587.434965
PF3D7_0110400,sp|P36954|RPB9_HUMAN,38.053,113,249,66,2,2.72E-20,84.3,1726.903213
PF3D7_0110600,tr|A6PW57|A6PW57_HUMAN,31.707,328,1710,188,8,5.04E-37,149,608.1810526
PF3D7_0110700,sp|Q09028|RBBP4_HUMAN,31.368,424,446,266,14,4.24E-58,197,2982.069955
PF3D7_0110800,sp|Q00403|TF2B_HUMAN,24.092,303,367,204,9,2.35E-20,91.3,1989.06703
PF3D7_0110900,sp|Q9Y3D8|KAD6_HUMAN,33.516,182,186,104,5,9.08E-29,105,3279.522581
PF3D7_0111000,sp|Q2TAC6|KIF19_HUMAN,53.034,379,1664,174,2,4.25E-120,404,1207.925841
PF3D7_0111300,tr|A0A0D9SF58|A0A0D9SF58_HUMAN,22.649,521,1167,312,18,1.10E-26,119,1011.150728
PF3D7_0111500,sp|P30085|KCY_HUMAN,42.991,107,371,61,0,2.49E-23,97.1,1239.902156
PF3D7_0111800,tr|C9JEL3|C9JEL3_HUMAN,25.547,137,620,90,4,4.46E-11,63.9,564.5062903
PF3D7_0111900,sp|O43715|TRIA1_HUMAN,36.538,52,81,32,1,0.0000014,42.7,2345.649383
PF3D7_0112000,tr|A0A0D9SGD3|A0A0D9SGD3_HUMAN,42.029,207,447,102,5,1.46E-41,148,1946.309396
PF3D7_0112200,tr|A0A0A0MS99|A0A0A0MS99_HUMAN,20.255,706,1822,420,20,9.24E-25,114,784.8534577
PF3D7_0113700,sp|Q9UDY4|DNJB4_HUMAN,34.897,341,402,194,8,2.95E-64,209,2960.168408
PF3D7_0114000,sp|Q15149|PLEC_HUMAN,20.848,566,1463,418,10,2.25E-09,63.9,806.5596719
PF3D7_0201700,tr|F8WF76|F8WF76_HUMAN,43.243,74,900,39,1,1.53E-10,60.1,355.5535556
PF3D7_0201800,sp|Q9UDY4|DNJB4_HUMAN,36.963,349,421,186,9,4.37E-67,218,3064.153682
PF3D7_0201900,sp|A6NE01|F186A_HUMAN,27.015,670,2441,435,49,3.95E-27,123,741.5014338
PF3D7_0202400,sp|Q9NU22|MDN1_HUMAN,20.487,493,1192,340,10,4.46E-08,59.3,847.3230705
PF3D7_0202700,sp|Q5T2R2|DPS1_HUMAN,33.484,221,538,144,3,3.08E-34,134,1375.457993
PF3D7_0202900,sp|Q9NPG8|ZDHC4_HUMAN,31.183,186,287,117,6,4.94E-22,95.1,2020.919164
PF3D7_0203100,sp|Q13188|STK3_HUMAN,33.462,260,2485,148,8,6.08E-37,149,350.1054326
PF3D7_0203300,sp|P07992|ERCC1_HUMAN,33.333,195,242,129,1,6.99E-44,150,2685.923554
PF3D7_0203700,sp|Q9BXY0|MAK16_HUMAN,49.198,187,439,83,4,1.91E-45,160,2095.677904
PF3D7_0204100,sp|Q9UBV2|SE1L1_HUMAN,26.087,207,2295,120,9,0.00000273,53.9,235.2945098
PF3D7_0204400,sp|O96015|DNAL4_HUMAN,36.082,97,107,55,2,1.86E-16,69.7,3270.985047
PF3D7_0204500,sp|P00505|AATM_HUMAN,31.061,396,405,266,3,5.36E-71,230,3037.075556
PF3D7_0204600,sp|Q8IZH2|XRN1_HUMAN,26.744,172,1188,102,4,0.000000028,59.7,387.2026936
PF3D7_0204700,sp|P11166|GTR1_HUMAN,28.97,466,504,293,11,5.39E-43,160,2678.575397
PF3D7_0204800,sp|Q8NHP7|EXD1_HUMAN,26.752,157,416,109,4,5.89E-08,55.8,1009.630769
PF3D7_0204900,sp|Q5HYK3|COQ5_HUMAN,37.288,354,354,153,6,9.06E-75,234,3728.8
PF3D7_0205200,sp|Q5T089|MORN1_HUMAN,29.605,152,196,101,5,3.46E-10,59.3,2295.897959
PF3D7_0205400,sp|Q5JVF3|PCID2_HUMAN,23.14,363,457,250,9,2.41E-19,90.5,1838.035011
PF3D7_0205500,sp|O15514|RPB4_HUMAN,28.788,132,132,90,3,2.00E-11,58.5,2878.8
PF3D7_0205900,sp|Q13200|PSMD2_HUMAN,36.111,612,966,364,7,1.83E-132,422,2287.77764
PF3D7_0206000,tr|A0A090HNM7|A0A090HNM7_HUMAN,25.424,472,1516,284,15,9.13E-29,126,791.5651715
PF3D7_0206200,tr|A0AAG2UWQ8|A0AAG2UWQ8_HUMAN,26.506,166,565,111,3,0.00000287,50.4,778.760354
PF3D7_0206600,sp|Q9Y2Y1|RPC10_HUMAN,35.714,112,106,62,4,2.11E-16,69.3,3773.554717
PF3D7_0206700,sp|P30566|PUR8_HUMAN,22.793,487,471,310,21,1.66E-11,67.4,2356.72845
PF3D7_0207200,sp|Q86U28|ISCA2_HUMAN,32.174,115,160,73,2,1.14E-14,68.2,2312.50625
