Gene,Target,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,HomologyScore,BestPocket_Score,N_Pockets
PF3D7_0603300,1,55.604,85.257,71.371,63.24945,96.986,231.443,317.827,192.506,122.767,72.751,72.031,34.717,31.277,23.817,85.2269,0.125,-3.099,138,2688.898067,33.55,4
PF3D7_1467300,1,74.87,114.496,103.722,45.77535,24.528,16.229,117.269,222.169,200.398,103.673,84.886,37.929,50.006,30.332,1.6264,0.149,-2.918,201,0,24.74,7
PF3D7_0923800,1,1870.756,2038.97,1599.797,183.3429,26.148,59.041,413.259,669.624,503.007,364.209,258.487,188.935,138.432,221.043,134.8535,0.999,-2.406,131,4214.414787,22.77,8
PF3D7_0417200,1,52.51,26.683,45.522,89.2215,11.582,28.569,262.928,416.206,307.059,213.905,135.952,186.054,211.431,115.326,313.7979,0.125,-3.031,31,2648.01875,29.95,9
PF3D7_1311800,1,678.701,774.372,405.657,544.30745,2951.598,3687.387,2353.356,1122.337,478.105,449.669,406.76,136.288,99.575,52.704,26.0824,0.127,-3.225,244,995.4083871,29.22,13
PF3D7_1412800,1,90.091,97.172,80.858,118.20735,677.797,256.062,116.522,220.45,237.507,179.527,142.752,142.537,160.577,82.55,162.3901,0.125,-3.019,49,4878.088537,31.16,8
PF3D7_1436600,1,257.678,149.752,157.993,322.3332,30.12,6.033,17.305,148.641,318.119,436.713,517.018,231.366,191.905,105.337,207.6564,0.179,-2.721,72,2274.325322,23.61,10
PF3D7_1453800,1,226.142,228.639,195.864,167.0605,356.853,236.266,202.368,194.24,165.067,152.681,164.776,114.254,78.959,56.312,119.6045,0.121,-2.984,301,1802.196923,17.97,18
PF3D7_0513300,1,828.494,1186.833,953.379,582.59195,4058.871,2924.82,6331.847,4283.878,1852.572,1479.588,944.855,168.434,156.403,129.301,6.9203,1,-2.123,44,0,9.07,2
PF3D7_1323500,1,42.545,110.97,117.502,56.1905,129.569,207.459,155.492,171.226,121.907,84.576,75.852,73.811,50.416,66.011,63.522,0.136,-2.863,248,830.4932203,16.84,6
PF3D7_1128400,1,410.714,538.069,518.247,67.67565,46.925,136.039,269.994,300.62,259.65,195.627,100.407,355.752,338.645,244.434,132.9849,0.142,-2.868,61,2872.345745,35.43,6
PF3D7_0217500,1,1267.904,52.419,55.902,446.59515,64.611,27.314,20.311,80.642,270.644,469.412,650.01,409.382,433.422,168.833,544.1786,0.27,-2.631,21,2137.391221,16.58,6
PF3D7_1115400,1,204.071,381.204,357.512,840.5429,398.715,385.187,409.152,666.673,602.03,543.537,498.592,344.969,227.433,114.266,250.6608,0.978,-1.959,158,2296.781098,7.44,4
PF3D7_1011400,1,89.303,205.396,287.647,89.42785,95.166,205.998,300.47,459.745,322.971,236.78,183.992,247.884,214.433,307.216,25.3447,0.399,-2.604,37,3985.242066,3.21,5
PF3D7_0211400,1,9.476,183.353,239.931,21.3763,2.536,0.557,5.489,27.116,43.326,20.839,29.2,108.035,119.659,113.264,50.8093,0.855,-2.982,58,0,14.43,5
PF3D7_0708400,1,3010.11,5591.738,3298.727,4896.54935,3756.904,6293.443,9345.115,5563.736,4752.837,4578.827,3097.99,1868.899,1170.46,514.518,1700.6607,0.236,-2.653,98,4080.54,19.02,6
PF3D7_1419800,1,94.852,260.146,198.972,68.7479,14.507,76.801,278.727,249.484,155.45,128.811,86.398,199.73,208.534,162.797,50.6138,0.123,-2.886,120,4079.9512,25.75,8
PF3D7_1115700,1,52.318,111.096,26.452,334.255,279.176,1543.998,1637.59,253.025,146.48,122.83,262.962,46.21,65.967,60.946,56.7725,0.12,-2.998,102,2272.719008,4.07,4
PF3D7_0925700,1,407.049,419.063,279.136,127.4414,232.296,259.757,175.718,277.523,307.154,247.13,195.081,492.222,425.525,175.893,366.7028,0.128,-2.762,18,5256.150334,9.44,4
PF3D7_1446200,1,1637.522,3618.618,1625.416,303.1638,1515.5,1665.117,1523.807,1166.729,336.413,279.606,204.968,1220.16,1943.541,1911.137,203.1113,0.122,-3.038,124,2247.950909,15.26,5
PF3D7_0204700,1,158.373,115.25,105.811,319.4498,396.216,545.173,445.81,342.912,268.668,242.477,323.293,530.019,551.838,379.103,154.1241,0.294,-2.474,41,2678.575397,20.05,7
PF3D7_1211900,1,36.699,94.331,31.692,373.9991,354.326,518.87,428.482,362.002,322.735,350.354,582.85,182.459,197.62,183.494,181.8808,0.119,-3.089,462,2310.092801,11.37,13
PF3D7_1247400,1,1639.536,1850.323,1193.095,94.10445,86.366,266.529,506.084,293.666,151.092,129.483,130.939,259.112,237.808,157.067,190.3712,0.126,-2.83,59,2894.753289,4.97,1
PF3D7_1344800,1,45.242,158.859,126.228,74.1814,96.484,230.413,338.792,233.959,131.233,90.15,84.222,174.307,193.174,300.986,222.6974,0.408,-2.437,151,3093.3184,5.8,4
PF3D7_0520900,1,518.97,573.374,380.983,496.52125,1091.723,1271.393,2449.69,3386.787,1289.679,1251.41,795,266.658,286.228,272.556,262.62,0.194,-2.678,67,5135.65428,21.88,7
PF3D7_0106300,1,218.391,264.434,195.068,382.37965,441.098,379.825,409.759,652.731,651.765,605.521,442.559,337.282,257.02,117.516,156.617,0.131,-2.942,440,2190.538436,19.25,25
PF3D7_1116700,1,72.638,53.045,30.148,984.35265,1299.195,2198.417,1342.822,615.294,436.43,533.469,737.688,141.369,140.751,113.844,64.4508,1,-1.432,237,1385.697571,13.72,13
PF3D7_1114700,1,87.705,78.433,87.671,214.83545,238.209,223.416,271.288,378.897,379.087,336.153,272.118,375.871,339.197,267.279,581.351,0.449,-2.375,198,2660.925608,14.88,4
PF3D7_1235600,1,17.202,87.372,76.036,271.67025,36.339,29.81,405.977,1042.519,801.307,675.972,404.689,493.832,478.862,486.973,535.9027,0.126,-2.803,29,4683.308824,9.37,3
PF3D7_1127100,1,497.574,288.968,230.728,117.63155,42.75,23.258,352.884,752.497,454.369,303.974,222.882,371.721,513.951,880.429,543.3477,0.847,0,43,1734.086705,4.14,1
