S.No,Gene Product,Gene (Common Name),Gene ID,Included in Training Set 1,Included in Training Set 2,Drug,Reference
1,Dihydroorotate Dehydrogenase,DHODH,PF3D7_0603300,Yes,Yes,"DSM265 [1]
DSM1 [2]
7-arylaminopyrazolo[1,5-a]pyrimidines [3]
DSM421 [4]
DSM74 [5]
Genz-669178 [6]
Genz-666136 [7]
BRD7539 [8]
BRD9185 [9]
DSM502 [10]
DSM705 [11]","Hoelz, Lucas Vb et al. “Plasmodium falciparum dihydroorotate dehydrogenase: a drug target against malaria.” Future medicinal chemistry vol. 10,15 (2018): 1853-1874. doi:10.4155/fmc-2017-0250
[1] Phillips, Margaret A et al. “A long-duration dihydroorotate dehydrogenase inhibitor (DSM265) for prevention and treatment of malaria.” Science translational medicine vol. 7,296 (2015): 296ra111. doi:10.1126/scitranslmed.aaa6645
[2] Phillips, Margaret A et al. “Triazolopyrimidine-based dihydroorotate dehydrogenase inhibitors with potent and selective activity against the malaria parasite Plasmodium falciparum.” Journal of medicinal chemistry vol. 51,12 (2008): 3649-53. doi:10.1021/jm8001026
[3] Azeredo, Luís Felipe S P et al. “Evaluation of 7-arylaminopyrazolo[1,5-a]pyrimidines as anti-Plasmodium falciparum, antimalarial, and Pf-dihydroorotate dehydrogenase inhibitors.” European journal of medicinal chemistry vol. 126 (2017): 72-83. doi:10.1016/j.ejmech.2016.09.073
[4] Phillips, Margaret A et al. “A Triazolopyrimidine-Based Dihydroorotate Dehydrogenase Inhibitor with Improved Drug-like Properties for Treatment and Prevention of Malaria.” ACS infectious diseases vol. 2,12 (2016): 945-957. doi:10.1021/acsinfecdis.6b00144
Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828
[10] Kokkonda, Sreekanth et al. “Lead Optimization of a Pyrrole-Based Dihydroorotate Dehydrogenase Inhibitor Series for the Treatment of Malaria.” Journal of medicinal chemistry vol. 63,9 (2020): 4929-4956. doi:10.1021/acs.jmedchem.0c00311
[11] Palmer, Michael J et al. “Potent Antimalarials with Development Potential Identified by Structure-Guided Computational Optimization of a Pyrrole-Based Dihydroorotate Dehydrogenase Inhibitor Series.” Journal of medicinal chemistry vol. 64,9 (2021): 6085-6136. doi:10.1021/acs.jmedchem.1c00173"
2,1-deoxy-d-xylulose-5-phosphate reductoisomerase,DXR / IspC,PF3D7_1467300,Yes,Yes,"Fosmidomycin and analogs [1]
FR900098 and analogs [2]
RCB-185 [3]","[1] Wang, Xu et al. “MEPicides: α,β-unsaturated Fosmidomycin N-Acyl Analogs as Efficient Inhibitors of Plasmodium falciparum 1-Deoxy-d-xylulose-5-phosphate reductoisomerase.” ACS infectious diseases vol. 9,7 (2023): 1387-1395. doi:10.1021/acsinfecdis.3c00132
[2] Bague, Darean et al. “Inhibition of DXR in the MEP pathway with lipophilic N-alkoxyaryl FR900098 analogs.” RSC medicinal chemistry vol. 15,7 2422-2439. 22 May. 2024, doi:10.1039/d3md00642e
[3] Edwards, Rachel L et al. “MEPicides: potent antimalarial prodrugs targeting isoprenoid biosynthesis.” Scientific reports vol. 7,1 8400. 21 Aug. 2017, doi:10.1038/s41598-017-07159-y
Singh, Nidhi et al. “Targeting the methyl erythritol phosphate (MEP) pathway for novel antimalarial, antibacterial and herbicidal drug discovery: inhibition of 1-deoxy-D-xylulose-5-phosphate reductoisomerase (DXR) enzyme.” Current pharmaceutical design vol. 13,11 (2007): 1161-77. doi:10.2174/138161207780618939
Xue, Jian et al. “Antimalarial and Structural Studies of Pyridine-containing Inhibitors of 1-Deoxyxylulose-5-phosphate Reductoisomerase.” ACS medicinal chemistry letters vol. 4,2 (2013): 278-282. doi:10.1021/ml300419r"
3,Thioredoxin reductase,TrxR,PF3D7_0923800,Yes,Yes,Compound 7 and 11 [1],"McCarty, Sara E et al. “Plasmodium falciparum Thioredoxin Reductase (PfTrxR) and Its Role as a Target for New Antimalarial Discovery.” Molecules (Basel, Switzerland) vol. 20,6 11459-73. 22 Jun. 2015, doi:10.3390/molecules200611459
[1] Andricopulo, A D et al. “Specific inhibitors of Plasmodium falciparum thioredoxin reductase as potential antimalarial agents.” Bioorganic & medicinal chemistry letters vol. 16,8 (2006): 2283-92. doi:10.1016/j.bmcl.2006.01.027
Tiwari, Neil K et al. “Preliminary LC-MS Based Screening for Inhibitors of Plasmodium falciparum Thioredoxin Reductase (PfTrxR) among a Set of Antimalarials from the Malaria Box.” Molecules (Basel, Switzerland) vol. 21,4 424. 28 Mar. 2016, doi:10.3390/molecules21040424"
4,Dihydrofolate Reductase,DHFR,PF3D7_0417200,Yes,Yes,"Proguanil [1]
P218 [2]
QN254 [3]
Pyrimethamine [4]
PS-15 [5]
MMV027634 [6]
Cycloguanil [7]
WR99210 [8]","[2] Posayapisit, Navaporn et al. “Transgenic pyrimethamine-resistant plasmodium falciparum reveals transmission-blocking potency of P218, a novel antifolate candidate drug.” International journal for parasitology vol. 51,8 (2021): 635-642. doi:10.1016/j.ijpara.2020.12.002 
[3] Nzila, Alexis et al. “Preclinical evaluation of the antifolate QN254, 5-chloro- N'6'-(2,5-dimethoxy-benzyl)-quinazoline-2,4,6-triamine, as an antimalarial drug candidate.” Antimicrobial agents and chemotherapy vol. 54,6 (2010): 2603-10. doi:10.1128/AAC.01526-09
[4] Basco, L K et al. “Point mutations in the dihydrofolate reductase-thymidylate synthase gene and pyrimethamine and cycloguanil resistance in Plasmodium falciparum.” Molecular and biochemical parasitology vol. 69,1 (1995): 135-8. doi:10.1016/0166-6851(94)00207-4
[5] Canfield, C J et al. “PS-15: a potent, orally active antimalarial from a new class of folic acid antagonists.” The American journal of tropical medicine and hygiene vol. 49,1 (1993): 121-6. doi:10.4269/ajtmh.1993.49.121
[6] Cowell, Annie N et al. “Mapping the malaria parasite druggable genome by using in vitro evolution and chemogenomics.” Science (New York, N.Y.) vol. 359,6372 (2018): 191-199. doi:10.1126/science.aan4472"
5,M1 aminopeptidase,AM1,PF3D7_1311800,Yes,Yes,"Bestatin [1]
KBE009 [2]","González-Bacerio, Jorge et al. “Plasmodium falciparum M1-aminopeptidase: a promising target for the development of antimalarials.” Current drug targets vol. 15,12 (2014): 1144-65. doi:10.2174/1389450115666141024115641
[1] Yang, Wei et al. “Mapping the Pathway and Dynamics of Bestatin Inhibition of the Plasmodium falciparum M1 Aminopeptidase PfA-M1.” ChemMedChem vol. 13,23 (2018): 2504-2513. doi:10.1002/cmdc.201800563
[2] González-Bacerio, Jorge et al. “KBE009: An antimalarial bestatin-like inhibitor of the Plasmodium falciparum M1 aminopeptidase discovered in an Ugi multicomponent reaction-derived peptidomimetic library.” Bioorganic & medicinal chemistry vol. 25,17 (2017): 4628-4636. doi:10.1016/j.bmc.2017.06.047"
6,N-myristoyltransferase ,NMT,PF3D7_1412800,Yes,Yes,"IMP-1002 [1]
Compound 34c [2]","de Azevedo Teotônio Cavalcanti, Misael et al. “Current trends to design antimalarial drugs targeting N-myristoyltransferase.” Future microbiology vol. 19,18 (2024): 1601-1618. doi:10.1080/17460913.2024.2412397
[1] Schlott, Anja C et al. “Structure-Guided Identification of Resistance Breaking Antimalarial N‑Myristoyltransferase Inhibitors.” Cell chemical biology vol. 26,7 (2019): 991-1000.e7. doi:10.1016/j.chembiol.2019.03.015
Schlott, Anja C et al. “N-Myristoylation as a Drug Target in Malaria: Exploring the Role of N-Myristoyltransferase Substrates in the Inhibitor Mode of Action.” ACS infectious diseases vol. 4,4 (2018): 449-457. doi:10.1021/acsinfecdis.7b00203
[2] Rackham, Mark D et al. “Design and synthesis of high affinity inhibitors of Plasmodium falciparum and Plasmodium vivax N-myristoyltransferases directed by ligand efficiency dependent lipophilicity (LELP).” Journal of medicinal chemistry vol. 57,6 (2014): 2773-88. doi:10.1021/jm500066b"
7,cGMP-dependent protein kinase,PKG,PF3D7_1436600,Yes,Yes,"Trisubstituted pyrrol (Compound 1) [1]
ML10 [2]
MMV030084 [3]","Eck, Tyler et al. “Characterization of Competitive Inhibitors of Plasmodium falciparum cGMP-Dependent Protein Kinase.” Chembiochem : a European journal of chemical biology vol. 23,7 (2022): e202100704. doi:10.1002/cbic.202100704
Diaz, Carmen A et al. “Characterization of Plasmodium falciparum cGMP-dependent protein kinase (PfPKG): antiparasitic activity of a PKG inhibitor.” Molecular and biochemical parasitology vol. 146,1 (2006): 78-88. doi:10.1016/j.molbiopara.2005.10.020
Baker, David A et al. “Targeting the Malaria Parasite cGMP-Dependent Protein Kinase to Develop New Drugs.” Frontiers in microbiology vol. 11 602803. 17 Dec. 2020, doi:10.3389/fmicb.2020.602803
[2] Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828
Baker, David A et al. “A potent series targeting the malarial cGMP-dependent protein kinase clears infection and blocks transmission.” Nature communications vol. 8,1 430. 5 Sep. 2017, doi:10.1038/s41467-017-00572-x
[3] Vanaerschot, Manu et al. “Inhibition of Resistance-Refractory P. falciparum Kinase PKG Delivers Prophylactic, Blood Stage, and Transmission-Blocking Antiplasmodial Activity.” Cell chemical biology vol. 27,7 (2020): 806-816.e8. doi:10.1016/j.chembiol.2020.04.001"
8,Glucose-6-phosphate dehydrogenase 6-phosphogluconolactonase,GluPho,PF3D7_1453800,Yes,Yes,SBI-0797750,"Allen, Stacey M et al. “Plasmodium falciparum glucose-6-phosphate dehydrogenase 6-phosphogluconolactonase is a potential drug target.” The FEBS journal vol. 282,19 (2015): 3808-23. doi:10.1111/febs.13380
Berneburg, Isabell et al. “An Optimized Dihydrodibenzothiazepine Lead Compound (SBI-0797750) as a Potent and Selective Inhibitor of Plasmodium falciparum and P. vivax Glucose 6-Phosphate Dehydrogenase 6-Phosphogluconolactonase.” Antimicrobial agents and chemotherapy vol. 66,4 (2022): e0210921. doi:10.1128/aac.02109-21
Morales-Luna, Laura et al. “Fused Enzyme Glucose-6-Phosphate Dehydrogenase::6-Phosphogluconolactonase (G6PD::6PGL) as a Potential Drug Target in Giardia lamblia, Trichomonas vaginalis, and Plasmodium falciparum.” Microorganisms vol. 12,1 112. 5 Jan. 2024, doi:10.3390/microorganisms12010112"
9,Purine nucleoside phosphorylase,PNP,PF3D7_0513300,Yes,Yes,"MMV000848 [1]
BCX4945 [2]
Imm-H [3]
Forodesine [4]
Quinine [5]
Mefloquine [6]","[1] Chung, Zara et al. “Identification and structural validation of purine nucleoside phosphorylase from Plasmodium falciparum as a target of MMV000848.” The Journal of biological chemistry vol. 300,1 (2024): 105586. doi:10.1016/j.jbc.2023.105586
[2] Cassera, María B et al. “Plasmodium falciparum parasites are killed by a transition state analogue of purine nucleoside phosphorylase in a primate animal model.” PloS one vol. 6,11 (2011): e26916. doi:10.1371/journal.pone.0026916
[3] Kicska, Gregory A et al. “Purine-less death in Plasmodium falciparum induced by immucillin-H, a transition state analogue of purine nucleoside phosphorylase.” The Journal of biological chemistry vol. 277,5 (2002): 3226-31. doi:10.1074/jbc.M105906200
[4] Kicska, Gregory A et al. “Transition state analogue inhibitors of purine nucleoside phosphorylase from Plasmodium falciparum.” The Journal of biological chemistry vol. 277,5 (2002): 3219-25. doi:10.1074/jbc.M105905200
[5,6] Dziekan, Jerzy M et al. “Identifying purine nucleoside phosphorylase as the target of quinine using cellular thermal shift assay.” Science translational medicine vol. 11,473 (2019): eaau3174. doi:10.1126/scitranslmed.aau3174"
10,Plasmepsin V,PMV,PF3D7_1323500,Yes,Yes,"WEHI-916 [1]
WEHI-842 [2]
Aminohydantoins [3]","[1] Sleebs, Brad E et al. “Inhibition of Plasmepsin V activity demonstrates its essential role in protein export, PfEMP1 display, and survival of malaria parasites.” PLoS biology vol. 12,7 e1001897. 1 Jul. 2014, doi:10.1371/journal.pbio.1001897
[2] Hodder, Anthony N et al. “Structural basis for plasmepsin V inhibition that blocks export of malaria proteins to human erythrocytes.” Nature structural & molecular biology vol. 22,8 (2015): 590-6. doi:10.1038/nsmb.3061
[3] Polino, Alexander J et al. “Assessment of Biological Role and Insight into Druggability of the Plasmodium falciparum Protease Plasmepsin V.” ACS infectious diseases vol. 6,4 (2020): 738-746. doi:10.1021/acsinfecdis.9b00460
Jennison, Charlie et al. “Inhibition of Plasmepsin V Activity Blocks Plasmodium falciparum Gametocytogenesis and Transmission to Mosquitoes.” Cell reports vol. 29,12 (2019): 3796-3806.e4. doi:10.1016/j.celrep.2019.11.073
Gambini, Luca et al. “Picomolar Inhibition of Plasmepsin V, an Essential Malaria Protease, Achieved Exploiting the Prime Region.” PloS one vol. 10,11 e0142509. 13 Nov. 2015, doi:10.1371/journal.pone.0142509"
